id,name,neighborhood,rating,price
946,Delightful 2BR Historic Brownstone Duplex,Clinton Hill,4.0,275.0
947,Super Bowl Rental 2BR in Soho,Greenwich Village,5.0,900.0
948,1500 sq ft apt sleeps 8 - SuperBowl,Gramercy,4.333333333333333,2000.0
949,Luxury West Village apt with views!,West Village,2.0,625.0
950,Newly renovated house,Bedford-Stuyvesant,4.5,130.0
951,Modern Studio w/ Private Entry - Heart of Chelsea,Chelsea,4.333333333333333,189.0
952,SUPERBOWLSUNDAY! 3BLOCK FROM TIMESQ,Hells Kitchen,,350.0
953,Apartment in Soho,SoHo,,200.0
954,Cozy Brownstone Suite,Bedford-Stuyvesant,4.5,145.0
955,Consider it home,Upper West Side,4.5,150.0
956,Your own apartment in Bushwick,Bushwick,,81.0
957,The Perfect 1-bedroom in Cobble Hill,Carroll Gardens,5.0,125.0
958,Luxury 1 Bed 20 Mins From Midtown Manhattan,Long Island City,,247.0
959,Cozy Manhattan 1 BR,Upper East Side,,80.0
960,1BR Loft: Cleaning CDC guidelines implemented,Greenpoint,2.333333333333333,169.0
961,Furnished one bedroom in Midtown West.,Theater District,4.666666666666667,135.0
962,Cozy Entire Apt1Bd APT inGREAT Loc,East Harlem,4.0,132.0
963,"Sunny apartment -Train,Bus & St. John’s Uni",Jamaica,,120.0
964,SUPER BOWL Brooklyn Duplex Apt!!,Clinton Hill,4.666666666666667,6500.0
965,Little Heaven — Upper West Side,Upper West Side,2.0,150.0
966,Charming Upper West Side Studio,Morningside Heights,5.0,60.0
967,Garden apt in Wlmsbrg - Lorimer L,Williamsburg,4.0,120.0
968,Close to everything - Jr 1 bedroom,Financial District,3.0,130.0
969,Sunny Spacious West Village 1BR,Greenwich Village,,199.0
970,Sunny & spacious NYC Apartment,East Village,4.0,160.0
971,2 Convertible Bdrms Great for 1-6,Harlem,4.0,165.0
972,Bondtastic: Fabulous in Brooklyn.,Gowanus,5.0,180.0
973,Upper East Side Large 2 Bedroom,East Harlem,,180.0
974,3 Bedroom Apartment,Kips Bay,,2750.0
975,1BR Superbowl rental Hells Kitchen,Hells Kitchen,,850.0
976,Superbowl - NYC Apartment,Midtown,5.0,950.0
977,Gorgeous 1 BR in N Williamsburg,Williamsburg,5.0,250.0
978,Tribeca Loft for Superbowl Wknd,Tribeca,5.0,1500.0
979,Prime NYC Location for Super Bowl,East Village,,3750.0
980,Pristine Lower East Side Sanctuary,Lower East Side,4.5,133.0
981,Duplex PH 2 bedLoft Williamsburg,Williamsburg,5.0,500.0
982,Two Bedroom Flat,Fort Greene,,345.0
983,MANHATTAN SUPERBOWL ACCOMODATION,Upper East Side,,1600.0
984,"Spacious 2BR/2BA Classic UWS Apt, Great for Family",Upper West Side,3.0,300.0
985,Sunny & Spacious Upper West Side One Bedroom Apt,Upper West Side,4.333333333333333,80.0
986,Sunny Brooklyn Home,Bedford-Stuyvesant,,85.0
987,Gorgeous Ft. Greene apt amazing vu,Fort Greene,5.0,200.0
988,Huge sunny apartment right by the subway!,Crown Heights,,94.0
989,Prime Brooklyn 1BR-10min to City!,Boerum Hill,4.0,160.0
990,Prime East Village 1 bedroom,East Village,,180.0
991,cozy upper east side 1 br abode,Upper East Side,,115.0
992,Spacious 1 Bedroom in Lower East Side/Chinatown,Chinatown,2.0,140.0
993,Mid Town East Side Apartment,Hells Kitchen,5.0,800.0
994,Large 1 bedroom apartment in Murray Hill,Kips Bay,,125.0
995,large 2bdrm apt - midtown manhattan,Hells Kitchen,4.0,200.0
996,"Spacious, charming & quiet delight",Chelsea,2.0,230.0
997,"Luxury Modern Spacious 1BR,1 block to subway",Upper West Side,4.333333333333333,168.0
998,Williamsburg Spacious 2 Bedroom Apt,Williamsburg,,131.0
999,Luxury private apartment/Suite/with balcony,Rego Park,4.5,152.0
1000,Vibrant Brooklyn location!,Greenpoint,3.0,225.0
1001,Heart of downtown Manhattan,Little Italy,2.0,250.0
1002,PRIME 1br in Williamsburg,Williamsburg,4.0,168.0
1003,Big Sunny Bushwick Apartment,Bushwick,3.333333333333333,150.0
1004,Ritz-Plaza - 2 bedroom / 2 fullbath,Theater District,,975.0
1005,Entire 4 Story Brownstone with Private Garden,Park Slope,2.0,250.0
1006,This is your Manhattan getaway HOME away from HOME,Harlem,4.333333333333333,250.0
1007,Sunny 1 br apartment in Park Slope,South Slope,,175.0
1008,XTRA LARGE 1 Bedroom Gramercy Apt,Gramercy,4.5,749.0
1009,Awesome Hells Kitchen Apt!,Hells Kitchen,3.0,150.0
1010,Charming 1 Bedroom in West Village,Greenwich Village,,199.0
1011,Huge Loft heart of Upper West Side,Upper West Side,3.5,650.0
1012,Lovely Duplex (2-story) flat on the UES,Upper East Side,4.0,220.0
1013,1Br Bushwick Suite w Kitchen & Bath ~ Steps to L/M,Bushwick,,104.0
1014,Welcome to the (Greenpoint) Jungle!,Greenpoint,,70.0
1015,"Cobble Hill Gem | 1 BR w/office, DR & EIK 1000+SF!",Cobble Hill,5.0,165.0
1016,Charm & Beauty close to Manhattan Clean/Sanitized,Bedford-Stuyvesant,4.0,179.0
1017,Beautiful and cozy 1BR Apt,Morningside Heights,5.0,99.0
1018,Duplex Brownstone sleeps 4,Cobble Hill,,195.0
1019,Lovely Apt-Center of East Village!,East Village,,250.0
1020,"HUGE LUXURY 2BD/2B, 7mn TO TIME SQR",Long Island City,,395.0
1021,Large 2 Bedroom available,Upper West Side,,400.0
1022,Bohemian Brooklyn Bungalow,Crown Heights,4.5,80.0
1023,Garden Duplex in Clinton Hill,Clinton Hill,,800.0
1024,1BR on Quiet Block in Nolita,Lower East Side,5.0,225.0
1025,"Art-Packed, One-Of-A-Kind Triplex",East Village,,245.0
1026,2-3 bedroom apt in Astoria NYC,Ditmars Steinway,,150.0
1027,"Williamsburg, Brooklyn, Your Own Apartment",Williamsburg,4.0,106.0
1028,Spacious + Sunny in Carroll Gardens,Carroll Gardens,1.0,185.0
1029,DISCOUNTED Entire Apt:  Prime UWS location!,Upper West Side,4.4,140.0
1030,Carroll Gardens Brownstone,Carroll Gardens,2.0,350.0
1031,Williamsburg Bedroom & Study,Williamsburg,4.0,89.0
1032,Current Location,Long Island City,,225.0
1033,Entire home 1 BR+ office or 2 BR best UWS location,Upper West Side,,110.0
1034,Beautiful 1 Bdr in the heart of NYC,Theater District,,129.0
1035,Modern Sunny 2-Bedroom in Bushwick,Bushwick,5.0,215.0
1036,Spacious East Village Apartment,Greenwich Village,5.0,200.0
1037,Luxury 2 BEDS/2 BATH Midtown/Central Park,Midtown,3.0,409.0
1038,Spacious Modern 2BD Apartment,Rockaway Beach,4.0,140.0
1039,Fabulous Apt w/ Gorgeous Bathroom!,Upper East Side,,117.0
1040,Sunny luxury in Bklyn's best hood,Carroll Gardens,3.5,215.0
1041,Large 900sf 1BR on UES,Upper East Side,4.5,219.0
1042,Bright and spacious 2 bed apartment,Park Slope,5.0,195.0
1043,Central Park Treasure,Upper West Side,5.0,145.0
1044,Lovely 1-bedroom on Prospect Park,Windsor Terrace,,120.0
1045,Sunny 1BR with Terrace/City Views,Williamsburg,5.0,169.0
1046,One Double Bed for Two People,Richmond Hill,4.666666666666667,60.0
1047,Stunning Loft in SoHo,SoHo,,1100.0
1048,Your Perfect NYC Apartment!,Sunnyside,3.5,149.0
1049,Spacious One Bedroom in UWS,Upper West Side,,200.0
1050,Perfect work-from-home for music-loving creatives,Carroll Gardens,,339.0
1051,1BD on Smith St. in Carroll Gardens,Carroll Gardens,5.0,150.0
1052,Nice 1 Bedroom in Lovely Building,Upper East Side,5.0,175.0
1053,Exquisite Furnished 1-BR Studio,Upper East Side,4.5,100.0
1054,Stylish Comfort 1-BR Upper East,Upper East Side,4.0,116.0
1055,Spacious 1 Bedroom in LIC,Long Island City,4.0,119.0
1056,UPPER WEST SIDE 2BR APT,Upper West Side,,90.0
1057,Comfortable Strivers Row Hideaway - Monthly Rental,Harlem,5.0,135.0
1058,"Charming, Modern 2BR | Central Park",Upper East Side,2.0,148.0
1059,Fort Greene Perfect Location,Fort Greene,5.0,150.0
1060,Incredible 2-BR w/ Kitchen Island!,Upper East Side,4.0,145.0
1061,Cozy&Sunny North Manhattan Duplex,Inwood,,160.0
1062,Cute Apartment with Great Bathroom!,Upper East Side,,119.0
1063,Downtown NYC Soho Loft 2br,Nolita,4.0,430.0
1064,Bright 1BR in heart of Greenpoint,Greenpoint,4.0,189.0
1065,Garden Appartment in Clinton Hill,Fort Greene,4.5,195.0
1066,Cheery Brooklyn Heights Studio!!,Brooklyn Heights,5.0,114.0
1067,Huge 1 bedroom apt/natural light- entire space,Norwood,4.0,50.0
1068,Million Dollar Listing Chelsea. 30 day minimum.,West Village,4.0,299.0
1069,Central Park beauty,Upper West Side,4.0,175.0
1070,October SPECIAL!! Enjoy the Holiday in NYC! Sale!,Battery Park City,,125.0
1071,One Bedroom Apartment with Natural Swimming-Pool.,Bedford-Stuyvesant,,230.0
1072,Spacious brownstone parlour,Cobble Hill,2.0,175.0
1073,GORGEOUS Newly-Renovated 2-BR Flat,Upper East Side,2.5,148.0
1074,Colorful Quarters on the Upper East Side,Upper East Side,5.0,89.0
1075,Beautiful 1 Bed  - Great Transport Links,Upper West Side,5.0,75.0
1076,Private 1 bedroom apartment,Bedford-Stuyvesant,3.5,79.0
1077,Charming one bedroom in the LES,Lower East Side,4.0,156.0
1078,Full 1 bedroom Apt in GREAT Locale,Chelsea,,250.0
1079,New York City 1 Bedrooms!,Kips Bay,3.0,269.0
1080,"Bright, spacious 1BR in UES",Upper East Side,4.0,90.0
1081,Fab apt in historic Hell’s Kitchen. Private. Safe.,Hells Kitchen,5.0,245.0
1082,Beautiful Studio Suite! Upper East,Upper East Side,3.5,100.0
1083,Spacious 1 BR apt in the UWS,Upper West Side,3.5,200.0
1084,STUNNING! 1BD Jr in Midtown East NY,Midtown,,140.0
1085,Bedstuy Apartment for Rent,Bedford-Stuyvesant,4.0,93.0
1086,Stunning 1BR apt  UES/Harlem,East Harlem,4.0,140.0
1087,Sunny West Village Apartment on MacDougal Street,Greenwich Village,,105.0
1088,Williamsburg Condo w/ Backyard,Williamsburg,,220.0
1089,Sunny and Stylish on the Park,Greenpoint,4.0,270.0
1090,Open/Sunny 2 BR in Prospect Heights,Prospect Heights,,200.0
1091,Spacious One Bedroom in Gramercy,Gramercy,2.0,200.0
1092,Hip Chinatown Apt in Great Location,Lower East Side,5.0,125.0
1093,Perfect NYC Flat! Modern/ROOMBA CLEANER,Upper East Side,,117.0
1094,Stylish Spacious w Lrge Deck 11231,Carroll Gardens,4.0,150.0
1095,Brooklyn Heights - 1 Bedroom,Brooklyn Heights,4.0,150.0
1096,"Chic, Modern Apt Near Central Park!",Upper East Side,,119.0
1097,Bright Brooklyn garden apartment!,Bedford-Stuyvesant,,164.0
1098,"Gorgeous 1-BR, Colorful Design. OFFICE READY!!!",Upper East Side,,119.0
1099,"Modern Loft, Large Private Terrace.",Lower East Side,5.0,185.0
1100,Carnegie Hill 3 Bedroom 2 Bath Apartment + Laundry,East Harlem,4.5,429.0
1101,Newly Renovated Modern 1-Bed Studio,Upper East Side,,101.0
1102,Sun filled 2BR in BedStuy Townhouse,Bedford-Stuyvesant,5.0,175.0
1103,Huge and beautiful Park Slope Apt,Park Slope,4.0,220.0
1104,3BR Family apt 15 min to Manhattan w/ garden,Long Island City,4.0,95.0
1105,Old World Garden Apartment,East Flatbush,,125.0
1106,"3-Story Brownstone with Backyard, Close to Park",Prospect Heights,4.0,400.0
1107,Modern 1-Bed Near Central Park,Upper East Side,5.0,119.0
1108,Spectacular Williamsburg 2 BR Loft,Williamsburg,5.0,330.0
1109,quaint apartment with city views,Ridgewood,3.0,95.0
1110,"UWS Large clean 1Br entire apt, 2 stops fromTiMESQ",Upper West Side,,150.0
1111,Heart of Manhattan: Charming 1BD,West Village,,190.0
1112,Cozy 1Bdr in Bed Stuy/Clinton Hill,Bedford-Stuyvesant,,130.0
1113,Urban Holiday…,Crown Heights,,101.0
1114,Spectacular Views of Mid-Town,Long Island City,,200.0
1115,New York City near Staten Is. Ferry,St. George,4.5,85.0
1116,Sunny Bedroom for two,Harlem,4.0,131.0
1117,Comfortable bedroom for one person,Harlem,4.0,102.0
1118,Amazing and Large Modern Studio,Murray Hill,,225.0
1119,Carroll Gardens Brooklyn Apartment,Carroll Gardens,5.0,149.0
1120,Large Sunny Apartment,Washington Heights,,130.0
1121,Cozy & Bright Studio Apartment,Flatbush,3.5,119.0
1122,Beautiful private 2 bedroom in prime Greenpoint,Greenpoint,,100.0
1123,"Great apartment, heart of Brooklyn",Fort Greene,5.0,175.0
1124,Furnished Studio UES near the Met,Upper East Side,5.0,150.0
1125,One Bedroom close to everything!,West Village,,120.0
1126,Cozy 1BR Apartment by Subway,Forest Hills,,100.0
1127,Stylish Brooklyn Loft w/ Terrace (30 Nights Min.),Red Hook,5.0,250.0
1128,Spacious Sunny Office & Suite on a Private Floor,Port Morris,,92.0
1129,Bright & lovely Upper East Side apt,Upper East Side,3.0,750.0
1130,Steps away from Brooklyn museum,Crown Heights,,135.0
1131,Luxury High Rise Near Central Park,Hells Kitchen,4.5,250.0
1132,Cozy & modern 1 br apt in Brooklyn,Prospect-Lefferts Gardens,5.0,125.0
1133,Charming and Artsy LES 1-Bedroom,Lower East Side,4.0,107.0
1134,"2BR, UWS, Doorman, Balcony, CntrlPK",Upper West Side,3.5,200.0
1135,Cozy & Modern Studio | Central Park,Upper East Side,,100.0
1136,Beautiful & Modern | Top Location!,Upper East Side,3.6666666666666665,117.0
1137,"Entire apt, sparkling clean, renovated cozy One BD",Gowanus,,68.0
1138,Sunny and Spacious apt in Bushwick,Bushwick,4.0,77.0
1139,Stylish 2BR in heart of Park Slope,Park Slope,4.666666666666667,425.0
1140,Modern Stylish and Legendary. Couples or Families,Harlem,4.0,150.0
1141,1BR UNFURN SUBLET in Williamsburg,Williamsburg,,220.0
1142,Gorgeous Chic Apt on Prime West Village Street,West Village,,220.0
1143,1 BEDROOM APT IN PRIME WILLIAMSBURG,Williamsburg,3.5,50.0
1144,Luxurious Brooklyn Getaway!,Crown Heights,3.5,113.0
1145,Beautiful Penthouse Apt - Brooklyn,Crown Heights,5.0,125.0
1146,Spectacular East Village Townhouse with garden,East Village,2.0,1294.0
1147,Lovely Park Slope Pied a Terre,Park Slope,4.5,250.0
1148,One Bedroom Apartment,Morningside Heights,4.0,100.0
1149,Long Term Luxury Rental W/Balcony!,Harlem,,129.0
1150,Spacious 2 bd 2 bth apt 45 min from Time Sq sleep6,Borough Park,5.0,219.0
1151,Quiet 1BR in Chelsea,Chelsea,2.0,150.0
1152,Penthouse next to Central Park with a Terrace !,Upper East Side,3.0,195.0
1153,Gorgeous 1BR Park Slope Apt/Garden,Park Slope,4.0,88.0
1154,2 Bd/1 Bath Apartment Upper East Side NYC,Upper East Side,2.0,274.0
1155,Beautiful Brooklyn Brownstone,Bedford-Stuyvesant,,195.0
1156,Beautiful Brooklyn 3 bdrm in Prospect Heights,Prospect Heights,,170.0
1157,Rustic Luxury in Prime Williamsburg,Williamsburg,,1200.0
1158,Beautiful Bedstuy 3Beds/ 2Baths Duplex w/ parking,Bedford-Stuyvesant,3.1666666666666665,446.0
1159,Entire Cozy One Bed #Manhattan #LES,Lower East Side,2.5,118.0
1160,Charming Tudor 1BD Uptown,Washington Heights,3.5,175.0
1161,Sunny 1 BD in trendy Prospect Heights Brooklyn,Prospect Heights,4.0,105.0
1162,Super cute private room +amminities,Crown Heights,3.0,160.0
1163,Stunning Park Slope 2BR,Gowanus,5.0,190.0
1164,"clean, casual 2BD apt in bed-stuy!",Bedford-Stuyvesant,4.0,75.0
1165,Up among the trees in Bed Stuy,Bedford-Stuyvesant,,125.0
1166,The Sunniest of Brooklyn Brownstones,Park Slope,4.5,545.0
1167,Ocean Hill Oasis,Cypress Hills,5.0,105.0
1168,"Spacious, Sunny 1 Bedroom Apartment",Crown Heights,5.0,98.0
1169,SPACIOUS & SUNNY East Village Gem,East Village,4.5,171.0
1170,~ PRIME location Williamsburg sunny 3BR loft ~,Williamsburg,2.6666666666666665,250.0
1171,HUGE 1BR in Prime West Village,West Village,,200.0
1172,Modern Pad in Prime Williamsburg!,Williamsburg,,250.0
1173,Spacious Apt in Townhouse near Columbia University,Harlem,4.0,275.0
1174,Apartment - private kitchen & bath,Bedford-Stuyvesant,4.0,81.0
1175,Prime Williamsburg Family Art Loft,Williamsburg,,130.0
1176,Huge Loft in prime Williamsburg - monthly rental,Williamsburg,4.0,200.0
1177,Upper East Side 2 Bedroom Apartment,Upper East Side,5.0,250.0
1178,Perfect Apartment For Young Family,Harlem,,200.0
1179,Clean and spacious loft in Chelsea,Chelsea,4.0,182.0
1180,newly renovated Flat in Historic Row House,Bedford-Stuyvesant,3.7142857142857135,161.0
1181,"Homey, inviting 1BR w/ lots of room",Inwood,4.0,100.0
1182,Cute 1 BR in the Lower East Side,Lower East Side,2.0,110.0
1183,"Cozy, Clean, Quiet, ENTIRE APT!!",Flatbush,,79.0
1184,Modern & Cozy 1BD Garden Apt,Harlem,4.0,138.0
1185,2BR Private Apt Guest Homestay,Williamsbridge,,90.0
1186,Private Room in Riverdale NY,Fieldston,4.0,80.0
1187,Fabulous 1 Bedroom Apt for 1 week,Hells Kitchen,4.666666666666667,150.0
1188,LEGAL studio in Queens,Woodside,5.0,115.0
1189,Elegant Brownstone Duplex,Fort Greene,3.0,375.0
1190,Park slope 2BR duplex with garden,Park Slope,4.0,325.0
1191,Apartment near Upper East Side,East Harlem,1.0,100.0
1192,Cozy Studio Close to Central Park,Harlem,4.0,310.0
1193,Cozy Soho Apartment,Little Italy,2.0,181.0
1194,2br with Balcony in East Harlem!,East Harlem,2.0,70.0
1195,139-3E west village 1BR!best value!,West Village,,150.0
1196,Brooklyn 3BR Near Subways,Crown Heights,4.0,147.0
1197,Red Hook Prime 1 BR Priv. Garden 3 blks NYC Ferry,Red Hook,5.0,207.0
1198,Beautiful Chelsea Loft 700 Sq ft,Chelsea,5.0,179.0
1199,Spacious apartment with  shared garden,Williamsburg,4.0,150.0
1200,Your own spacious and charming Brooklyn apt.,Bedford-Stuyvesant,4.0,168.0
1201,Welcome to The Valley,Bushwick,,143.0
1202,Charming Fort Greene Studio,Fort Greene,,115.0
1203,Awesome SoHo/Little Italy 1BD,Nolita,3.6666666666666665,175.0
1204,Luxury apartment in Manhattan.,Upper East Side,5.0,280.0
1205,Delightful & Modern 1 Bedroom,Boerum Hill,,120.0
1206,A Dream! Luxury 3 Bedroom Apt,Sheepshead Bay,,250.0
1207,"Sun Soaked, NYC Brownstone Apt",Harlem,,150.0
1208,Private 1 bedroom suite with backyard access,Long Island City,1.0,75.0
1209,The Most Affordable |PRIVATE ROOM| in a BROWNSTONE,Mount Hope,,104.0
1210,BEAUTIFUL DESIGNER SOHO LOFT,Little Italy,4.0,220.0
1211,Best of Brooklyn & 5 min to Manhattan!,Williamsburg,4.0,235.0
1212,Sunny 1 bed home close to Manhattan,Windsor Terrace,4.0,85.0
1213,ADORABLE 2BR in Chelsea!!,Chelsea,4.0,300.0
1214,Sunny and Spacious 1 bedroom apt,Upper East Side,,350.0
1215,"Sunny, Quiet Apt. in Manhattan",Harlem,3.6666666666666665,135.0
1216,LUXURY 1 BR MIDTOWN w POOL & GYM,Murray Hill,3.0,189.0
1217,Beautiful bright apartment in Boerum Hill,Boerum Hill,4.0,279.0
1218,2 Bedroom Garden Apt. Park Slope,South Slope,,145.0
1219,The Gallery Apartment~ Private Sunlit 3-Bedrooms,Bedford-Stuyvesant,3.75,249.0
1220,Huge Artist Loft with BBQ deck -  Williamsburg,Williamsburg,2.5,350.0
1221,Large 1-bedroom in Brooklyn,Fort Greene,4.0,115.0
1222,Orchard St,Lower East Side,3.0,200.0
1223,A Private Nook in Bushwick,Bushwick,3.0,65.0
1224,Studio loft - Williamsburg/Bushwick,Williamsburg,,181.0
1225,"Sunny, spacious, 1BR in Willamsburg",Williamsburg,,158.0
1226,"Comfy, Cozy, & Creative Apartment",Washington Heights,4.0,29.0
1227,Sunny 2 bedroom in Fort Greene,Clinton Hill,5.0,200.0
1228,"Bright Room in Artist, Music Producer Apartment",Flatbush,,100.0
1229,Park Slope Studio Apartment,Park Slope,1.0,158.0
1230,STUNNING WILLIAMSBURG HOME W/GARDEN,Williamsburg,3.75,270.0
1231,Astoria: full apartment,Astoria,,90.0
1232,Beautiful Summer Sublet in Ditmas Park Brooklyn,Flatbush,4.666666666666667,85.0
1233,10th St / W Village  Junior Loft,Greenwich Village,,275.0
1234,Williamsburg Garden Escape,Williamsburg,,119.0
1235,"Cute & Cozy Greenpoint Apt, Great Location",Greenpoint,5.0,85.0
1236,Beautiful Studio Near Times Square,Hells Kitchen,4.5,300.0
1237,Spacious & Cozy NYC Apartment in Brooklyn/Queens,Ridgewood,,110.0
1238,Right in the center of Manhattan,Upper East Side,3.75,250.0
1239,Garden Floor Duplex with patio,Crown Heights,,145.0
1240,Luxury 2 bed apt in WILLIAMSBURG BK,Williamsburg,4.0,150.0
1241,Comfort and Charm in Harlem Brownstone near Subway,Harlem,4.0,92.0
1242,Modern 1 BR + terrace in Gramercy,Kips Bay,5.0,165.0
1243,Extra Large 1BR,Windsor Terrace,,150.0
1244,Gallery Suite,Fort Greene,3.5,250.0
1245,Perfect Bowery Getaway w/Balcony,Lower East Side,4.0,205.0
1246,Sweet Brooklyn Refuge,Clinton Hill,5.0,145.0
1247,East Village 1 Bedroom,East Village,2.5,143.0
1248,Brooklyn Heights 1.5BR and Cat Sit,Brooklyn Heights,4.5,115.0
1249,Spacious 1 bd in Crown Heights,Crown Heights,5.0,90.0
1250,Cozy but Cool:Huge 1bed in ❤️of NY,Midtown,,234.0
1251,BEAUTIFUL ROOM NEAR PROSPECT PARK!!,Flatbush,,70.0
1252,Central Park home away from home,Harlem,3.6666666666666665,150.0
1253,Two-Floor Apartment on Upper West,Upper West Side,4.333333333333333,290.0
1254,Gorgeous pre war rowhouse apartment,Bedford-Stuyvesant,4.5,175.0
1255,Charming 1BR Private GARDEN Apt!,Boerum Hill,5.0,115.0
1256,Modern 1BD Chelsea Apartment,Chelsea,5.0,230.0
1257,Duplex in SoHa,Morningside Heights,4.0,225.0
1258,Architect's Oasis,Crown Heights,,250.0
1259,2 Bedroom in Hudson Heights,Washington Heights,4.5,150.0
1260,Suite Lounge,East Harlem,4.5,93.0
1261,Cozy Harlem Flat!,Harlem,3.5,110.0
1262,2 Story Loft Tribeca/Soho Downtown Manhattan,Tribeca,4.333333333333333,900.0
1263,1BD in Lower East Side,Lower East Side,,120.0
1264,"Charming Apt, Perfect for Couples!",Bushwick,3.0,170.0
1265,Artsy + Stylish Hideout | 2 bedrooms w/ backyard,Williamsburg,3.6666666666666665,319.0
1266,3 bedroom loft in Williamsburg,Williamsburg,4.0,650.0
1267,Lower East Side Studio- Great Location!,Lower East Side,5.0,66.0
1268,Sunny Bushwick Apartment / Morgan L,Williamsburg,,129.0
1269,Large & Spacious **Prime Location,Midtown,5.0,148.0
1270,Grand Brownstone Owner's Duplex,Clinton Hill,5.0,175.0
1271,Charming 1 Bed in Trendy Location!,East Village,,160.0
1272,The Most Modern  | PRIVATE ROOM | in a BROWNSTONE,Mount Hope,,104.0
1273,Amazing 1 Bedroom Apt CENTRAL PARK,Upper East Side,5.0,180.0
1274,Large & bright 2bd/2ba steps from everything,Crown Heights,3.333333333333333,250.0
1275,Beautiful 2 Bedroom Townhouse,Bedford-Stuyvesant,5.0,152.0
1276,Modern Townhouse - Chic Sunny Room - L/J/A/C Train,Bushwick,2.0,49.0
1277,Curious on Tanzania: Brooklyn Apt 🌟🌟🌟🌟,Crown Heights,5.0,95.0
1278,"Big, beautiful, sunlit East Harlem apt",East Harlem,,175.0
1279,"Sunny zen apt in Park Slope, BK",Gowanus,3.5,166.0
1280,"Faboules 1 br, in trendy Park Slope",South Slope,3.6666666666666665,110.0
1281,True Industrial Loft in Brooklyn,Clinton Hill,5.0,87.0
1282,"Large apartment, 2BR, Midtown NYC! 3D",Midtown,,202.0
1283,Beautiful 1200 sf 3 bedroom apt off Prospect Park,Prospect-Lefferts Gardens,4.0,220.0
1284,Luxury 1 Bedroom in FiDi,Financial District,,160.0
1285,Landmark Brownstone Sunny  3 Rooms,Washington Heights,5.0,76.0
1286,Converted Carriage House,Clinton Hill,,46.0
1287,Charming brownstone top floor 1BD,Park Slope,3.0,125.0
1288,Missy's Place,Bedford-Stuyvesant,,115.0
1289,"Beautiful Apt x Rent in Astoria, NY",Long Island City,3.8,165.0
1290,Beautiful apartment by Columbus Circle,Upper West Side,4.0,590.0
1291,"Lovely 1BR Park Slope, near trains!",Park Slope,,230.0
1292,Modern Style Meets Old World,Sunset Park,4.5,49.0
1293,Gorgeous! Newly Renovated 2-BR Flat,Upper East Side,1.0,148.0
1294,One Bedroom in East Harlem,East Harlem,1.0,115.0
1295,JOE'S PARADISE 5019,Flatlands,4.0,150.0
1296,"A bright, beautiful treehouse",Crown Heights,2.6666666666666665,100.0
1297,Sunny Private Apt in Ditmas Park,Flatbush,5.0,120.0
1298,Amazing 1brm in the Best Location,Gramercy,4.0,99.0
1299,2BR Flex: Cleaning CDC guidelines implemented.,Greenpoint,,169.0
1300,New & Modern 2 BR Brownstone Apt.,Bedford-Stuyvesant,4.666666666666667,181.0
1301,Sunlight filled top floor refuge with roof deck,Prospect Heights,5.0,175.0
1302,Brooklyn Carroll Gardens Charmer!,Carroll Gardens,4.0,175.0
1303,"Perfect 4-Beds Home Near Beach, Boardwalk, Shops",Arverne,3.6666666666666665,494.0
1304,New Bright & Modern Apartment within a Brownstone,Murray Hill,5.0,149.0
1305,"Lovely, modern townhouse",Sunset Park,,135.0
1306,"Luxurious Brooklyn 2BD, 1 bath",Sheepshead Bay,4.5,150.0
1307,Tribeca condo with huge private outdoor space,Tribeca,4.5,200.0
1308,"Cozy studio, 20-40 min to Manhattan",Flatbush,4.0,70.0
1309,61-3C |-Renovated 2BR~Sleeps5~Prime Upper east~,Upper East Side,,170.0
1310,★ Convenience & Comfort Awaits!  ♥️ Your Stay! ★,Crown Heights,4.5,120.0
1311,Midtown NYC 2bdrm with patio! 2D,Midtown,5.0,145.0
1312,Charming studio for rent in Astoria,Astoria,,150.0
1313,Heart of LES + Patio,Lower East Side,4.0,225.0
1314,elegant pre war two bedroom flat,Bedford-Stuyvesant,4.666666666666667,158.0
1315,Hey Beautiful Brooklyn Brownstone!,Prospect Heights,,340.0
1316,Beautiful 1 BR - Downtown Union Square,East Village,4.5,150.0
1317,Upper East Side Manhattan 1 Bed Apt,Upper East Side,2.0,110.0
1318,Charming 1-Bedroom in East Village,East Village,,200.0
1319,Cozy Nolita Duplex w/ private terrace,Nolita,,2000.0
1320,Penthouse Apt with Roofdeck,Murray Hill,4.0,229.0
1321,Romantic one bedroom in Harlem USA,East Harlem,4.5,144.0
1322,Huge Apartment! Convenient! Artsy! Comfy!,Crown Heights,,104.0
1323,Beautiful duplex for family w/kids,Bedford-Stuyvesant,,200.0
1324,Sunny & Modern 1-BR | Central Park/ROOMBA CLEANER,Upper East Side,4.0,119.0
1325,Mid-Century Modern Garden Paradise,Bedford-Stuyvesant,5.0,152.0
1326,Private 1 BR in PLG blocks from subway & park,Prospect-Lefferts Gardens,4.5,125.0
1327,Studio - large room lots of light,Bedford-Stuyvesant,4.666666666666667,85.0
1328,2-bedroom with rooftop and gym access,Bedford-Stuyvesant,5.0,232.0
1329,Brooklyn Brownstone,Bay Ridge,5.0,170.0
1330,"Heart of Nolita, close to SoHo",Nolita,5.0,200.0
1331,Studio apartment,Harlem,4.0,120.0
1332,Beautiful 2br in Williamsburg,Williamsburg,5.0,160.0
1333,"Bright & New Reno, Quiet Block",Clinton Hill,4.5,247.0
